Index	Time	I(V1)	I(VPr1)	V(Vmr)	V(_net0)	I(MR1)	
0	0.0049505	-3.057833226266736E-4	3.057833226266736E-4	0.15302877535519294	0.15302877535519294	3.057833226266736E-4	
1	0.0099010	-5.824870100242541E-4	5.824870100242541E-4	0.29137077079934476	0.29137077079934476	5.824870100242541E-4	
2	0.0148515	-8.034975101486094E-4	8.034975101486094E-4	0.4017487550743047	0.4017487550743047	8.034975101486094E-4	
3	0.0198020	-9.471386283438656E-4	9.471386283438656E-4	0.47356931424006055	0.47356931424006055	9.471386283438656E-4	
4	0.0247525	-9.998790874458008E-4	9.998790874458008E-4	0.49993954372290034	0.49993954372290034	9.998790874458008E-4	
5	0.0297030	-9.566571755348647E-4	9.566571755348647E-4	0.4783285877689361	0.4783285877689361	9.566571755348647E-4	
6	0.0346535	-8.216210714635936E-4	8.216210714635936E-4	0.4108105357317968	0.4108105357317968	8.216210714635936E-4	
7	0.0396040	-6.077307268828996E-4	6.077307268828996E-4	0.30386536347216614	0.30386536347216614	6.077307268828996E-4	
8	0.0445545	-3.355140477364729E-4	3.355140477364729E-4	0.1677570243143779	0.1677570243143779	3.355140477364729E-4	
9	0.0495050	-3.109671273442279E-5	3.109671273442279E-5	0.015548376643254489	0.015548376643254489	3.109671273442279E-5	
10	0.0544555	2.7616953279181207E-4	-2.7616953279181207E-4	-0.13815251054428285	-0.13815251054428285	-2.7616953279181207E-4	
11	0.0594060	4.492971615505003E-4	-4.492971615505003E-4	-0.2785943520927752	-0.2785943520927752	-4.492971615505003E-4	
12	0.0643565	2.615322574439017E-4	-2.615322574439017E-4	-0.39229838616585255	-0.39229838616585255	-2.615322574439017E-4	
13	0.0693070	3.12234656596188E-4	-3.12234656596188E-4	-0.46835198460222477	-0.46835198460222477	-3.12234656596188E-4	
14	0.0742575	3.3297065414776144E-4	-3.3297065414776144E-4	-0.4994559812216422	-0.4994559812216422	-3.3297065414776144E-4	
15	0.0792080	3.2175013454963997E-4	-3.2175013454963997E-4	-0.4826252018198227	-0.4826252018198227	-3.2175013454963997E-4	
16	0.0841585	2.7964997546926464E-4	-2.7964997546926464E-4	-0.419474963203897	-0.419474963203897	-2.7964997546926464E-4	
17	0.0891090	2.1071069659027133E-4	-2.1071069659027133E-4	-0.31606604481700584	-0.31606604481700584	-2.1071069659027133E-4	
18	0.0940595	1.2154867481278689E-4	-1.2154867481278689E-4	-0.1823230116415319	-0.1823230116415319	-1.2154867481278689E-4	
19	0.0990100	2.07211887549077E-5	-2.07211887549077E-5	-0.03108171424429974	-0.03108171424429974	-2.07211887549077E-5	
20	0.1039605	-8.216104148826596E-5	8.216104148826596E-5	0.12314261882909469	0.12314261882909469	8.216104148826596E-5	
21	0.1089110	-2.3451787740586495E-4	2.3451787740586495E-4	0.2655484652406551	0.2655484652406551	2.3451787740586495E-4	
22	0.1138615	-7.649371395994632E-4	7.649371395994632E-4	0.3824685697997316	0.3824685697997316	7.649371395994632E-4	
23	0.1188120	-9.253632902690345E-4	9.253632902690345E-4	0.46268164527554373	0.46268164527554373	9.253632902690345E-4	
24	0.1237625	-9.969786478821292E-4	9.969786478821292E-4	0.4984893239410646	0.4984893239410646	9.969786478821292E-4	
25	0.1287130	-9.729100010514622E-4	9.729100010514622E-4	0.4864550005273495	0.4864550005273495	9.729100010514622E-4	
26	0.1336635	-8.554673137856897E-4	8.554673137856897E-4	0.4277336568928448	0.4277336568928448	8.554673137856897E-4	
27	0.1386140	-6.559220276116884E-4	6.559220276116884E-4	0.327961013822997	0.327961013822997	6.559220276116884E-4	
28	0.1435645	-3.9342529690514563E-4	3.9342529690514563E-4	0.19671264850260842	0.19671264850260842	3.9342529690514563E-4	
29	0.1485150	-9.316993731847848E-5	9.316993731847848E-5	0.04658498830731865	0.04658498830731865	9.316993731847848E-5	
30	0.1534655	2.1599559770518956E-4	-2.1599559770518956E-4	-0.10801361840662398	-0.10801361840662398	-2.1599559770518956E-4	
31	0.1584160	4.741474790292063E-4	-4.741474790292063E-4	-0.2522457287720782	-0.2522457287720782	-4.741474790292063E-4	
32	0.1633665	2.481792091911552E-4	-2.481792091911552E-4	-0.3722688137867328	-0.3722688137867328	-2.481792091911552E-4	
33	0.1683170	3.0437585431411545E-4	-3.0437585431411545E-4	-0.45656378085010824	-0.45656378085010824	-3.0437585431411545E-4	
34	0.1732675	3.3136033791509646E-4	-3.3136033791509646E-4	-0.49704050687264467	-0.49704050687264467	-3.3136033791509646E-4	
35	0.1782180	3.265428530364672E-4	-3.265428530364672E-4	-0.48981427954953033	-0.48981427954953033	-3.265428530364672E-4	
36	0.1831685	2.9038575242907835E-4	-2.9038575242907835E-4	-0.43557862864361757	-0.43557862864361757	-2.9038575242907835E-4	
37	0.1881190	2.2635917681088042E-4	-2.2635917681088042E-4	-0.3395387651770715	-0.3395387651770715	-2.2635917681088042E-4	
38	0.1930695	1.4060801109141917E-4	-1.4060801109141917E-4	-0.21091201663712875	-0.21091201663712875	-1.4060801109141917E-4	
39	0.1980200	4.1362165747347747E-5	-4.1362165747347747E-5	-0.062043203415211155	-0.062043203415211155	-4.1362165747347747E-5	
40	0.2029705	-6.18683161420101E-5	6.18683161420101E-5	0.09278014268080331	0.09278014268080331	6.18683161420101E-5	
41	0.2079210	-1.7501293071868251E-4	1.7501293071868251E-4	0.23869900965186144	0.23869900965186144	1.7501293071868251E-4	
42	0.2128715	-7.234179675175891E-4	7.234179675175891E-4	0.36170898375879457	0.36170898375879457	7.234179675175891E-4	
43	0.2178220	-9.000086169464505E-4	9.000086169464505E-4	0.45000430878106146	0.45000430878106146	9.000086169464505E-4	
44	0.2227725	-9.902218627460702E-4	9.902218627460702E-4	0.49511093137303513	0.49511093137303513	9.902218627460702E-4	
45	0.2277230	-9.853995792977767E-4	9.853995792977767E-4	0.49269978965075867	0.49269978965075867	9.853995792977767E-4	
46	0.2326735	-8.860045809408175E-4	8.860045809408175E-4	0.44300229047040873	0.44300229047040873	8.860045809408175E-4	
47	0.2376240	-7.015762007645273E-4	7.015762007645273E-4	0.35078810039238684	0.35078810039238684	7.015762007645273E-4	
48	0.2425745	-4.498147636410222E-4	4.498147636410222E-4	0.2249073818205111	0.2249073818205111	4.498147636410222E-4	
49	0.2475250	-1.5488279365571934E-4	1.5488279365571934E-4	0.0774414077337859	0.0774414077337859	1.5488279365571934E-4	
50	0.2524755	1.5490702766254738E-4	-1.5490702766254738E-4	-0.0774569261084658	-0.0774569261084658	-1.5490702766254738E-4	
51	0.2574260	4.4159939013518884E-4	-4.4159939013518884E-4	-0.22492141083508146	-0.22492141083508146	-4.4159939013518884E-4	
52	0.2623765	2.338661957510335E-4	-2.338661957510335E-4	-0.35079929362655027	-0.35079929362655027	-2.338661957510335E-4	
53	0.2673270	2.953397167035931E-4	-2.953397167035931E-4	-0.4430095736649857	-0.4430095736649857	-2.953397167035931E-4	
54	0.2722775	3.284683092057418E-4	-3.284683092057418E-4	-0.4927024638086127	-0.4927024638086127	-3.284683092057418E-4	
55	0.2772280	3.300724932338629E-4	-3.300724932338629E-4	-0.4951087398446061	-0.4951087398446061	-3.300724932338629E-4	
56	0.2821785	2.9999830793069645E-4	-2.9999830793069645E-4	-0.4499974618960447	-0.4499974618960447	-2.9999830793069645E-4	
57	0.2871290	2.4113209244254068E-4	-2.4113209244254068E-4	-0.3616981386399639	-0.3616981386399639	-2.4113209244254068E-4	
58	0.2920795	1.5912347143225597E-4	-1.5912347143225597E-4	-0.23868520714838398	-0.23868520714838398	-1.5912347143225597E-4	
59	0.2970300	6.184315359475651E-5	-6.184315359475651E-5	-0.09276470747380734	-0.09276470747380734	-6.184315359475651E-5	
60	0.3019805	-4.137553770247958E-5	4.137553770247958E-5	0.062058789947550166	0.062058789947550166	4.137553770247958E-5	
61	0.3069310	-1.448629094236332E-4	1.448629094236332E-4	0.21092625859334138	0.21092625859334138	1.448629094236332E-4	
62	0.3118815	-6.791005914000027E-4	6.791005914000027E-4	0.33955029570000134	0.33955029570000134	6.791005914000027E-4	
63	0.3168320	-8.711726807938993E-4	8.711726807938993E-4	0.43558634110314387	0.43558634110314387	8.711726807938993E-4	
64	0.3217825	-9.796348675005027E-4	9.796348675005027E-4	0.48981743375025133	0.48981743375025133	9.796348675005027E-4	
65	0.3267330	-9.94077600182124E-4	9.94077600182124E-4	0.49703880009337853	0.49703880009337853	9.94077600182124E-4	
66	0.3316835	-9.131147537944923E-4	9.131147537944923E-4	0.4565573768972462	0.4565573768972462	9.131147537944923E-4	
67	0.3366340	-7.445166545335046E-4	7.445166545335046E-4	0.37225832727308944	0.37225832727308944	7.445166545335046E-4	
68	0.3415845	-5.044643322601067E-4	5.044643322601067E-4	0.25223216613005334	0.25223216613005334	5.044643322601067E-4	
69	0.3465350	-2.1599655209788283E-4	2.1599655209788283E-4	0.1079982812968917	0.1079982812968917	2.1599655209788283E-4	
70	0.3514855	9.32000064144461E-5	-9.32000064144461E-5	-0.04660062792137055	-0.04660062792137055	-9.32000064144461E-5	
71	0.3564360	3.9128497689098227E-4	-3.9128497689098227E-4	-0.19672708962504334	-0.19672708962504334	-3.9128497689098227E-4	
72	0.3613865	2.1864858032125936E-4	-2.1864858032125936E-4	-0.32797287048188906	-0.32797287048188906	-2.1864858032125936E-4	
73	0.3663370	2.8516119628200424E-4	-2.8516119628200424E-4	-0.4277417911575056	-0.4277417911575056	-2.8516119628200424E-4	
74	0.3712875	3.2430575448004137E-4	-3.2430575448004137E-4	-0.4864586317200621	-0.4864586317200621	-3.2430575448004137E-4	
75	0.3762380	3.3232540237985016E-4	-3.3232540237985016E-4	-0.49848810356182993	-0.49848810356182993	-3.3232540237985016E-4	
76	0.3811885	3.0845046029933905E-4	-3.0845046029933905E-4	-0.4626756904490086	-0.4626756904490086	-3.0845046029933905E-4	
